"" "Group" "Replicate" "Timepoint"
"GSM1557140" 0 "K" 1 0
"GSM1557141" 1 "K" 2 0
"GSM1557142" 2 "K" 3 0
"GSM1557143" 3 "K" 1 12
"GSM1557144" 4 "K" 2 12
"GSM1557145" 5 "K" 3 12
"GSM1557146" 6 "K" 1 18
"GSM1557147" 7 "K" 2 18
"GSM1557148" 8 "K" 3 18
"GSM1557149" 9 "K" 1 24
"GSM1557150" 10 "K" 2 24
"GSM1557151" 11 "K" 3 24
"GSM1557152" 12 "K" 1 30
"GSM1557153" 13 "K" 2 30
"GSM1557154" 14 "K" 3 30
"GSM1557155" 15 "K" 1 36
"GSM1557156" 16 "K" 2 36
"GSM1557157" 17 "K" 3 36
"GSM1557158" 18 "K" 1 3
"GSM1557159" 19 "K" 2 3
"GSM1557160" 20 "K" 3 3
"GSM1557161" 21 "K" 1 48
"GSM1557162" 22 "K" 2 48
"GSM1557163" 23 "K" 3 48
"GSM1557164" 24 "K" 1 60
"GSM1557165" 25 "K" 2 60
"GSM1557166" 26 "K" 3 60
"GSM1557167" 27 "K" 1 6
"GSM1557168" 28 "K" 2 6
"GSM1557169" 29 "K" 3 6
"GSM1557170" 30 "K" 1 72
"GSM1557171" 31 "K" 2 72
"GSM1557172" 32 "K" 3 72
"GSM1557173" 33 "K" 1 9
"GSM1557174" 34 "K" 2 9
"GSM1557175" 35 "K" 3 9
"GSM1557176" 36 "K" 1 120
"GSM1557177" 37 "K" 2 120
"GSM1557178" 38 "K" 3 120
"GSM1557179" 39 "K" 1 168
"GSM1557180" 40 "K" 2 168
"GSM1557181" 41 "K" 3 168
"GSM1557182" 42 "M" 1 0
"GSM1557183" 43 "M" 2 0
"GSM1557184" 44 "M" 3 0
"GSM1557185" 45 "M" 1 12
"GSM1557186" 46 "M" 2 12
"GSM1557187" 47 "M" 3 12
"GSM1557188" 48 "M" 1 18
"GSM1557189" 49 "M" 2 18
"GSM1557190" 50 "M" 3 18
"GSM1557191" 51 "M" 1 24
"GSM1557192" 52 "M" 2 24
"GSM1557193" 53 "M" 3 24
"GSM1557194" 54 "M" 1 30
"GSM1557195" 55 "M" 2 30
"GSM1557196" 56 "M" 3 30
"GSM1557197" 57 "M" 1 36
"GSM1557198" 58 "M" 2 36
"GSM1557199" 59 "M" 3 36
"GSM1557200" 60 "M" 1 3
"GSM1557201" 61 "M" 2 3
"GSM1557202" 62 "M" 3 3
"GSM1557203" 63 "M" 1 48
"GSM1557204" 64 "M" 2 48
"GSM1557205" 65 "M" 3 48
"GSM1557206" 66 "M" 1 60
"GSM1557207" 67 "M" 2 60
"GSM1557208" 68 "M" 3 60
"GSM1557209" 69 "M" 1 6
"GSM1557210" 70 "M" 2 6
"GSM1557211" 71 "M" 3 6
"GSM1557212" 72 "M" 1 72
