"C1"	"C2"	"C3"	"C4"	"C5"	"C6"	"C7"	"C8"	"C9"	"C10"	"C11"	"C12"	"C13"	"C14"	"C15"	"C16"	"C17"	"C18"	"C19"	"C20"
"AA209734"	14	8	10	7	1	6	1	6	5	7	2	11	10	10	8	13	12	13	7	4
"AB006916"	14	8	10	7	1	6	1	6	5	7	2	11	10	10	8	13	12	13	7	4
"AB010100"	2	2	11	3	4	12	8	12	13	8	9	5	5	9	10	2	11	11	2	6
"AB010310"	1	13	11	12	5	1	7	12	10	13	9	5	7	4	11	1	11	4	2	6
"AB010317"	5	4	6	6	2	2	12	2	6	2	7	10	14	7	12	10	8	6	4	11
"AB010354"	7	10	4	13	7	8	14	11	1	5	13	1	4	11	6	3	4	10	5	10
"AB010372"	5	4	6	6	2	2	12	2	6	2	7	10	14	7	12	10	8	6	4	11
"AB015858.1"	5	4	6	6	2	2	12	9	6	2	7	10	14	7	12	10	8	6	4	11
"AB022157"	2	1	8	14	8	10	8	3	14	3	6	6	1	12	1	12	3	12	13	12
"AB022307"	8	11	13	4	12	9	1	5	4	14	4	13	6	6	4	14	14	5	11	13
"AB069910"	9	2	3	10	4	5	11	8	13	8	9	5	5	9	10	2	2	11	2	6
"AB070552"	13	9	11	11	9	1	8	9	13	8	9	5	5	9	10	2	2	11	2	6
"AB359227"	4	7	9	5	6	14	5	13	3	10	3	3	8	1	7	11	6	3	9	5
"AB531024"	13	9	2	11	9	4	6	7	8	9	10	9	13	14	13	7	5	7	14	3
"AF009414"	13	9	2	11	9	4	6	9	8	9	10	9	13	14	13	7	5	7	14	3
"AF017153"	3	6	1	3	10	3	4	1	12	1	12	2	9	5	3	9	7	2	1	8
"AF020312"	8	11	13	4	12	9	1	5	4	14	4	13	6	6	4	14	14	5	11	13
"AF023483"	3	6	5	3	10	12	4	1	12	1	12	7	9	5	3	9	9	2	5	8
"AF027707"	9	12	3	10	3	1	11	9	9	8	9	5	12	9	10	2	2	11	2	6
"AF031525"	7	10	4	13	7	8	14	9	1	5	13	1	4	11	6	3	4	10	8	10
"AF031816"	10	14	12	1	14	11	9	14	2	11	5	4	11	2	2	5	13	14	3	9
"AF042095"	14	8	10	7	1	6	3	6	5	7	2	11	10	10	8	13	12	13	7	4
"AF054819"	4	7	9	5	6	14	5	13	3	10	3	3	8	1	7	11	6	3	9	5
"AF055908"	3	6	5	3	10	12	4	1	12	1	12	2	9	5	3	9	9	2	5	8
"AF065991"	12	3	7	8	13	13	13	10	11	4	14	12	2	3	14	8	10	8	10	14
"AF081193"	5	4	6	6	2	2	12	2	6	2	7	10	14	7	12	10	8	6	8	11
"AF086824"	2	2	3	12	4	1	8	12	13	8	9	5	5	9	10	2	2	11	2	6
"AF088884"	9	12	3	10	3	12	14	11	9	1	13	14	12	8	6	4	2	2	5	2
"AF093064"	14	13	5	7	5	6	3	6	10	1	8	7	7	10	11	13	9	4	7	1
"AF103797"	9	12	3	10	3	5	11	8	9	12	11	14	12	8	9	4	2	9	12	2
"AF118402"	14	13	3	7	5	6	3	6	10	13	8	7	7	4	11	1	2	4	5	1
"AF127140.1"	13	9	2	11	9	4	6	7	8	9	10	9	13	14	13	7	5	7	14	3
"AF148511"	7	10	4	13	7	8	14	11	1	5	13	1	4	11	6	3	4	10	8	10
"AF160502"	7	10	4	13	7	8	14	9	1	5	13	1	4	11	6	3	4	10	8	10
"AF169286"	3	6	5	3	5	12	4	1	12	1	8	7	9	5	11	9	9	2	5	1
"AF175892"	6	3	7	9	11	7	13	10	11	4	14	12	2	3	5	8	1	8	10	14
"AF177345"	3	6	7	3	10	12	4	1	12	1	12	2	9	5	14	9	10	2	10	8
"AF216290"	8	11	13	4	12	9	1	5	4	14	4	13	6	6	4	14	14	5	11	13
"AF236125"	8	11	13	4	12	9	1	5	4	14	4	13	6	6	8	14	14	5	11	13
"AF277385"	2	2	8	14	4	10	8	3	13	3	6	6	9	5	1	2	3	2	13	12
"AF285585"	8	11	13	4	12	9	1	5	4	14	4	13	6	6	4	14	14	5	11	13
"AF312686"	14	8	10	7	1	6	3	6	5	7	2	11	10	10	8	13	12	13	7	4
"AF323488"	14	8	10	7	1	6	3	6	5	7	2	11	10	10	11	13	12	13	7	4
"AF333980"	14	13	5	3	5	12	7	6	12	1	8	7	7	4	11	1	9	2	5	1
"AF346502"	9	13	3	10	3	1	3	8	9	12	11	14	7	4	11	1	2	9	2	1
"AF346836"	11	1	1	2	8	3	2	3	14	10	12	3	8	12	4	12	7	12	1	5
"AF357471"	14	8	10	7	1	6	3	6	5	7	2	11	10	10	8	13	12	13	7	4
