"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"	"B21"	"B22"	"B23"	"B24"	"B25"
"AA204140"	12	4	16	10	10	7	7	16	16	15	12	14	11	2	14	16	6	14	4	11	10	8	2	14	15
"AB008911"	12	4	9	15	10	3	13	15	5	5	16	6	2	7	10	2	12	3	16	3	5	9	6	3	1
"AB010313"	3	2	10	12	11	12	5	12	7	13	5	8	4	6	11	1	15	7	6	9	13	1	7	10	7
"AB010342"	8	15	7	2	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	4	16	10	13	12
"AB011473"	11	9	8	1	6	16	3	5	10	2	6	15	13	9	2	10	9	16	9	2	16	14	8	8	8
"AB099518"	14	12	5	8	2	16	9	1	9	2	6	3	13	9	8	4	16	16	7	2	8	14	8	16	5
"AF009414"	14	9	8	1	15	16	3	5	10	2	6	13	13	9	2	4	9	16	9	2	16	14	8	8	8
"AF012177"	2	13	9	7	13	4	16	8	2	12	8	7	7	1	4	9	3	2	2	15	7	12	5	12	14
"AF027185"	12	4	16	6	10	7	7	16	16	15	12	14	11	2	14	16	6	14	3	11	14	8	2	14	15
"AF039833"	12	16	3	4	4	7	15	16	16	3	12	11	8	13	15	14	2	15	12	13	3	8	11	4	11
"AF062752"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AF064984"	1	6	12	13	7	13	6	10	1	16	14	1	1	11	9	5	5	9	13	6	2	13	11	7	9
"AF065991"	2	13	9	16	5	5	16	2	3	5	8	5	8	1	4	12	3	2	8	7	9	11	12	6	10
"AF081193"	8	15	7	2	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	4	16	10	13	12
"AF097415"	11	9	8	1	15	16	4	5	10	14	2	15	14	12	2	10	11	16	9	4	16	15	8	8	8
"AF103797"	10	5	1	3	9	1	10	14	8	11	13	16	10	14	10	15	5	8	5	16	15	4	14	3	16
"AF124721"	7	9	8	14	15	11	4	5	10	14	2	15	14	15	2	10	11	13	9	8	16	15	16	8	8
"AF127140.1"	14	12	8	1	6	16	3	5	10	2	2	13	13	9	8	4	9	16	11	2	6	14	8	8	8
"AF129738"	2	11	9	11	13	2	13	2	5	10	3	10	3	1	5	12	7	2	8	3	9	5	5	5	10
"AF139595"	1	4	4	6	4	7	12	16	16	15	12	14	6	2	3	7	14	15	14	11	4	8	2	2	15
"AF180471"	7	10	8	1	6	16	15	5	10	9	2	13	16	15	8	3	9	13	11	8	6	6	8	8	8
"AF198092"	5	6	12	13	7	13	6	3	1	3	11	12	15	8	9	14	4	9	13	13	2	13	11	7	9
"AF210281"	11	9	3	14	15	11	4	12	6	14	16	15	14	12	2	10	11	4	9	4	16	15	16	11	2
"AF217545"	14	12	8	1	6	16	3	5	10	2	6	13	13	9	8	4	9	16	11	2	6	14	8	8	8
"AF223362"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AF275549"	6	11	15	11	8	2	14	13	14	6	3	10	3	16	16	13	7	11	4	1	1	5	4	9	6
"AF346836"	6	11	15	11	11	2	13	7	5	6	3	10	2	6	16	2	7	7	4	1	1	5	4	9	7
"AF425084"	8	15	7	2	1	8	2	4	13	1	9	9	9	5	7	6	13	1	1	5	10	16	10	13	12
"AF441786"	15	9	14	5	12	6	4	1	15	8	7	1	12	3	2	8	8	12	7	14	12	10	13	15	5
"AF464177"	1	8	4	4	4	14	12	6	4	4	10	4	6	13	3	7	14	15	14	12	11	3	9	2	3
"AF510652"	3	2	10	15	11	3	13	15	5	5	3	8	2	7	11	2	12	7	16	3	5	1	7	10	1
