"B1"	"B2"	"B3"	"B4"	"B5"	"B6"	"B7"	"B8"	"B9"	"B10"	"B11"	"B12"	"B13"	"B14"	"B15"	"B16"	"B17"	"B18"	"B19"	"B20"
"A_51_P114236"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"A_51_P172409"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_51_P188401"	1	5	5	4	5	5	5	3	2	4	4	4	2	3	5	4	2	4	3	4
"A_51_P191274"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"A_51_P226791"	1	4	2	4	3	4	2	1	3	3	4	2	5	2	3	5	2	2	5	3
"A_51_P277048"	1	1	4	5	5	2	5	5	2	4	3	4	2	5	4	3	4	4	3	5
"A_51_P305453"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_51_P326259"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_51_P327496"	4	2	3	1	1	1	3	4	5	5	2	5	4	1	1	2	3	3	4	1
"A_51_P350172"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"A_51_P426986"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"A_51_P515046"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"A_52_P1021224"	1	4	5	3	5	5	1	1	4	3	3	4	5	3	5	4	2	4	1	4
"A_52_P1053094"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_52_P1053662"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_52_P1101503"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_52_P1173798"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_52_P1197466"	3	3	3	1	1	1	3	4	3	5	2	5	4	4	1	2	3	3	4	1
"A_52_P13337"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_52_P362072"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"A_52_P477386"	1	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	4	3	5
"A_52_P541760"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"A_52_P549754"	3	2	1	2	1	3	3	2	3	5	2	1	4	1	1	2	5	1	2	1
"A_52_P724603"	5	3	3	1	4	1	2	4	3	2	5	5	1	4	2	5	3	3	4	2
"A_52_P771912"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"A_52_P812870"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"A_52_P820445"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_52_P852771"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_52_P868798"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_52_P956633"	4	1	4	2	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"A_52_P981301"	1	1	4	2	1	2	5	5	1	5	2	3	2	5	4	3	4	5	3	5
"A_52_P988778"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"A_52_P996776"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AA204140"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AB008911"	3	5	5	1	4	1	2	3	3	2	3	4	3	4	5	5	2	4	1	4
"AB010313"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	2	5	3	3	4	2
"AB010342"	3	5	3	1	5	1	1	3	3	1	3	4	3	3	5	4	2	3	4	4
"AB011473"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AB099518"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AF009414"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AF012177"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AF027185"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AF039833"	1	1	5	4	3	2	5	5	1	4	4	3	2	5	5	3	4	4	1	5
"AF062752"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AF064984"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AF065991"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AF081193"	1	5	1	5	5	5	1	3	2	5	2	4	4	3	5	4	2	4	1	1
"AF097415"	4	1	1	2	1	2	3	2	5	5	2	1	2	1	4	2	4	5	2	1
"AF103797"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AF124721"	4	1	4	2	3	2	5	5	1	4	2	3	2	5	4	3	4	5	3	5
"AF127140.1"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AF129738"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AF139595"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AF180471"	4	1	4	2	3	2	5	5	1	4	2	3	2	5	4	3	4	5	3	5
"AF198092"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AF210281"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AF217545"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AF223362"	1	1	4	2	3	2	5	5	2	5	4	3	2	5	4	3	4	4	3	5
"AF275549"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AF346836"	5	4	2	3	4	1	2	1	4	2	5	5	1	4	2	5	3	2	4	3
"AF425084"	1	5	3	1	5	5	1	3	2	1	3	4	1	3	5	4	2	3	4	4
"AF441786"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AF464177"	1	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	4	3	5
"AF510652"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	2	5	3	3	4	2
"AI509818"	1	5	3	1	5	1	2	4	3	2	3	5	1	4	2	4	3	3	4	2
"AI840334"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	1	2	3	3	4	2
"AJ278768"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AJ293727"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AJ558021"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AK002213"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AK002217"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AK002608"	1	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	4	3	5
"AK003142"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AK003738"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AK003760"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AK003941"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	2	5	3	3	4	2
"AK004056"	4	1	1	2	1	2	3	2	5	5	2	1	2	1	4	2	4	5	3	1
"AK004226.7"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AK004418"	4	1	1	2	1	2	3	2	5	5	2	1	2	1	4	2	4	5	2	1
"AK004568"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	5	5	3	3	4	2
"AK004622"	5	3	3	3	4	1	2	1	4	2	1	5	1	4	2	5	3	2	4	2
"AK005150"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AK005220"	1	5	5	5	5	5	1	3	2	3	3	4	3	3	5	4	2	4	1	4
"AK005583"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK005750"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AK005796"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AK006020"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AK006583"	1	5	5	4	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AK006636"	5	4	2	3	2	4	2	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK006817"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	2	5	3	3	4	2
"AK006823"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	2	5	3	3	4	2
"AK007019"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK007209"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK007316"	1	5	3	1	4	5	2	4	2	2	5	5	1	4	2	4	3	4	4	2
"AK007368"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AK007371"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK007637"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK007812"	2	4	3	4	4	1	2	1	3	2	4	5	1	4	2	5	3	2	4	2
"AK008026"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK008330"	3	4	2	1	4	1	2	1	3	2	5	2	1	4	3	5	3	3	5	3
"AK008545"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AK008598"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	2	5	3	3	4	2
"AK008679"	2	1	4	4	4	1	2	5	3	2	4	3	1	4	4	5	4	5	3	5
"AK008770"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AK008862"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK008869"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK008898"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	2	5	3	3	4	2
"AK009140"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AK009216"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	2	5	3	3	4	2
"AK009586"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	1	5	3	3	4	2
"AK009638"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AK009740"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AK010233"	2	1	4	4	3	2	5	5	1	4	4	3	2	5	4	3	4	5	3	5
"AK010610"	1	5	5	5	5	5	1	3	2	1	3	4	3	3	5	4	2	4	1	4
"AK010630"	4	2	1	2	1	3	3	2	5	5	2	1	4	1	1	2	5	1	2	1
"AK010841"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK011275"	3	3	3	1	4	1	2	4	3	2	5	5	1	4	5	5	3	3	4	2
"AK011656"	1	5	5	4	4	5	2	3	2	4	3	4	1	5	5	4	2	4	3	4
"AK011675"	4	1	1	2	1	2	3	2	5	5	2	1	2	5	4	3	4	5	3	5
"AK011730"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
"AK011739"	5	4	2	3	2	4	4	1	4	3	1	2	5	2	3	1	1	2	5	3
